date,id,parentId,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
Sep-15,uid-564,DFE-1020,,,GRADE 7,IT Manager,Education Funding Agency,0,46833,58373,Information Technology
Sep-15,uid-565,DFE-1072,,,EO,Executive Assistant,Education Funding Agency,0,22681,33209,Operational Delivery
Sep-15,uid-566,DFE-1183,,,SEO,Policy Adviser,Education Funding Group,0,34282,48182,Policy
Sep-15,uid-567,DFE-1183,,,GRADE 6,Business Manager,Education Funding Group,0,57309,70578,Policy
Sep-15,uid-568,DFE-1219,,,SEO,Policy Adviser,Education Funding Agency,0,34282,48182,Business Unit Support
Sep-15,uid-569,DFE-1006,,,EO,Executive Assistant,"Childcare, Special Needs and Children’s Services Strategy",0,22681,33209,Policy
Sep-15,uid-570,DFE-1216,,,SEO,Operational Manager,Education Funding Agency,0,34282,48182,Operational Delivery
Sep-15,uid-571,DFE-1210,,,GRADE 7,Business Manager,National College for School Leadership,0,46833,58373,Policy
Sep-15,uid-572,DFE-1075,,,GRADE 6,Business Manager,HR and Change Group,0,57309,70578,Policy
Sep-15,uid-573,DFE-1042,,,GRADE 6,Operational Manager,Education Funding Agency,0,57309,70578,Operational Delivery
Sep-15,uid-574,DFE-1031,,,GRADE 6,Operational Manager,Education Funding Agency,0,57309,70578,Operational Delivery
Sep-15,uid-575,DFE-1099,,,EA AO,Executive Assistant,Education Funding Agency,0,18474,23084,Operational Delivery
Sep-15,uid-576,DFE-1266,,,SEO,Finance Officer,Finance & Commercial Group,0,34282,48182,Finance
Sep-15,uid-577,DFE-1242,,,GRADE 7,Operational Manager,Regional Schools Commissioners Group,0,46833,58373,Operational Delivery
Sep-15,uid-578,DFE-1249,,,HEO,Policy Adviser,Strategy Performance and Private Office Group,0,27674,42065,Business Unit Support
Sep-15,uid-579,DFE-1106,,,GRADE 7,Operational Manager,Education Funding Agency,0,46833,58373,Operational Delivery
Sep-15,uid-580,DFE-1061,,,SEO,Operational Manager,Education Funding Agency,0,34282,48182,Operational Delivery
Sep-15,uid-581,DFE-1241,,,GRADE 7,Operational Manager,Regional Schools Commissioners Group,0,46833,58373,Operational Delivery
Sep-15,uid-582,DFE-1223,,,GRADE 6,Operational Manager,Regional Schools Commissioners Group,0,57309,70578,Operational Delivery
Sep-15,uid-583,DFE-1009,,,SEO,Operational Manager,Finance & Commercial Group,0,34282,48182,Estates and Facilities Management
Sep-15,uid-584,DFE-1016,,,SEO,Policy Adviser,"Childcare, Special Needs and Children’s Services Strategy",0,34282,48182,Policy
Sep-15,uid-585,DFE-1280,,,EA AO,Executive Assistant,IT Group,0,18474,23084,Information Technology
Sep-15,uid-586,DFE-1219,,,GRADE 7,Operational Manager,Education Funding Agency,0,46833,58373,Operational Delivery
Sep-15,uid-587,DFE-1040,,,HEO,Policy Support Officer,Teachers and Teaching Group,0,27674,42065,Policy
Sep-15,uid-588,DFE-1267,,,EO,Executive Assistant,Post 16 and Disadvantage,0,22681,33209,Policy
Sep-15,uid-589,DFE-1171,,,GRADE 6,Business Manager,Teachers and Teaching Group,0,57309,70578,Policy
Sep-15,uid-590,DFE-1002,,,GRADE 6,Communications Manager,Children Services and Departmental Strategy,0,57309,70578,Communications and Marketing
Sep-15,uid-591,DFE-1280,,,HEO,Procurement Officer,IT Group,0,27674,42065,Contract Management.
Sep-15,uid-592,DFE-1240,,,HEO,Operations Support Officer,Regional Schools Commissioners Group,0,27674,42065,Operational Delivery
Sep-15,uid-593,DFE-1219,,,HEO,Operations Support Officer,Education Funding Agency,0,27674,42065,Operational Delivery
Sep-15,uid-594,DFE-1072,,,SEO,Operational Manager,Education Funding Agency,0,34282,48182,Operational Delivery
Sep-15,uid-595,DFE-1178,,,GRADE 6,Business Manager,Finance & Commercial Group,0,57309,70578,Finance
Sep-15,uid-596,DFE-1154,,,EO,Executive Assistant,Education Funding Agency,0,22681,33209,Operational Delivery
Sep-15,uid-597,DFE-1205,,,SEO,Policy Adviser,"Childcare, Special Needs and Children’s Services Strategy",0,34282,48182,Policy
Sep-15,uid-598,DFE-1084,,,EO,Executive Assistant,Infrastructure and Funding Directorate,0,22681,33209,Business Unit Support
Sep-15,uid-599,DFE-1276,,,HEO,Operations Support Officer,Finance & Commercial Group,0,27674,42065,Estates and Facilities Management
Sep-15,uid-600,DFE-1213,,,GRADE 6,Business Manager,Regional Schools Commissioners Group,0,57309,70578,Policy
Sep-15,uid-601,DFE-1208,,,GRADE 6,Business Manager,Systems and Accountability,0,57309,70578,Policy
