id,parentId,date,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
root,,,,,,,,,,,
uid-988,84,Mar-13,Junior,,Band A,Senior Procurement Officer,Corporate Performance Group,0,42034,67969,Procurement
uid-989,84,Mar-13,Junior,,Band B,Senior Procurement Officer,Corporate Performance Group,0,29634,44964,Procurement
uid-990,84,Mar-13,Junior,,Band D,Procurement Officer,Corporate Performance Group,0,17513,28000,Procurement
uid-991,85,Mar-13,Junior,,Band E,Admin Support officer,Corporate Performance Group,0,15935,22250,Procurement
uid-992,85,Mar-13,Junior,,Band A,Transport,Corporate Performance Group,0,42034,67969,Procurement
uid-993,85,Mar-13,Junior,,Band B,Senior Procurement Officer,Corporate Performance Group,0,29634,44964,Procurement
uid-994,85,Mar-13,Junior,,Band B,Transport,Corporate Performance Group,0,29634,44964,Procurement
uid-995,85,Mar-13,Junior,,Band C,Procurement Officer,Corporate Performance Group,0,21096,36061,Procurement
uid-996,85,Mar-13,Junior,,Band C,Transport,Corporate Performance Group,0,21096,36061,Procurement
uid-997,85,Mar-13,Junior,,Band D,Procurement Officer,Corporate Performance Group,0,17513,28000,Procurement
uid-998,85,Mar-13,Junior,,Band D,Transport,Corporate Performance Group,0,17513,28000,Procurement
uid-999,85,Mar-13,Junior,,Band E,Procurement Support Officer,Corporate Performance Group,0,15935,22250,Procurement
uid-1000,85,Mar-13,Junior,,Band E,Transport,Corporate Performance Group,0,15935,22250,Procurement
uid-1001,85,Mar-13,Junior,,Band F,Transport,Corporate Performance Group,0,13894,18700,Procurement
uid-1002,85,Mar-13,Junior,,Band D,Transport,Corporate Performance Group,0,17513,28000,Procurement
uid-1003,217,Mar-13,Junior,,Band A,Senior Procurement Officer,Corporate Performance Group,0,42034,67969,Procurement
uid-1004,217,Mar-13,Junior,,Band D,Senior Procurement Officer,Corporate Performance Group,0,17513,28000,Procurement
uid-1005,327,Mar-13,Junior,,Band A,Programme Manager,Corporate Performance Group,0,42034,67969,Information Technology
uid-1006,327,Mar-13,Junior,,Band B,Programme Manager,Corporate Performance Group,0,29634,44964,Information Technology
uid-1007,327,Mar-13,Junior,,Band C,Programme Support Officer,Corporate Performance Group,0,21096,36061,Information Technology
uid-1008,327,Mar-13,Junior,,Band D,Programme Support Officer,Corporate Performance Group,0,17513,28000,Information Technology
uid-1009,327,Mar-13,Junior,,Band D,Programme Support Officer,Corporate Performance Group,0,17513,28000,Information Technology
