id,parentId,date,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
uid-1177,CLG227,Sep-14,Junior,,Senior Executive Officer (SEO),Programme Manager,Neighbourhoods,0,32311,45985,Operational Delivery
uid-1178,CLG239,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Neighbourhoods,0,40852,57110,Policy
uid-1179,CLG197,Sep-14,Junior,,Senior Executive Officer (SEO),Finance Officer,Finance and Corporate Services,0,32311,45985,Finance
uid-1180,CLG172,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Localism,0,40852,57110,Policy
uid-1181,CLG227,Sep-14,Junior,,Higher Executive Officer (HEO),Programme Manager,Neighbourhoods,0,26058,39513,Operational Delivery
uid-1182,CLG163,Sep-14,Junior,,Grade 7 (G7),Senior Statistician,Localism,0,40852,57110,Statisticians
uid-1183,CLG165,Sep-14,Junior,,Executive Officer (EO),Policy Support Officer,Localism,0,22279,31225,Policy
uid-1184,CLG241,Sep-14,Junior,,Senior Executive Officer (SEO),Policy Adviser,Neighbourhoods,0,32311,45985,Policy
uid-1185,CLG207,Sep-14,Junior,,Higher Executive Officer (HEO),HR Officer,Finance and Corporate Services,0,26058,39513,Human Resources
uid-1186,CLG154,Sep-14,Junior,,Executive Officer (EO),Private Secretary,"Strategy, Comms and Private Offices",0,22279,31225,Policy
uid-1187,CLG186,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Neighbourhoods,0,26058,39513,Planning
uid-1188,CLG197,Sep-14,Junior,,Administrative Officer (AO),Finance Support Officer,Finance and Corporate Services,0,19335,25847,Finance
uid-1189,CLG215,Sep-14,Junior,,Fast Stream (HEOD),Statistician,Finance and Corporate Services,0,27000,35000,Statisticians
uid-1190,CLG204,Sep-14,Junior,,Higher Executive Officer (HEO),Internal Auditor,Finance and Corporate Services,0,26058,39513,Internal Audit
uid-1191,CLG177,Sep-14,Junior,,Executive Officer (EO),Policy Support Officer,Neighbourhoods,0,22279,31225,Policy
uid-1192,CLG194,Sep-14,Junior,,Executive Officer (EO),Policy Support Officer,Neighbourhoods,0,22279,31225,Policy
uid-1193,CLG222,Sep-14,Junior,,Administrative Officer (AO),Policy Support Officer,Finance and Corporate Services,0,19335,25847,Policy
uid-1194,CLG215,Sep-14,Junior,,Grade 7 (G7),Senior Economist,Finance and Corporate Services,0,40852,57110,Economics
uid-1195,CLG169,Sep-14,Junior,,Administrative Officer (AO),Policy Support Officer,Localism,0,19335,25847,Policy
uid-1196,CLG213,Sep-14,Junior,,Senior Executive Officer (SEO),Press Officer,"Strategy, Comms and Private Offices",0,32311,45985,Communications
uid-1197,CLG201,Sep-14,Junior,,Grade 7 (G7),Senior IT Manager,Finance and Corporate Services,0,40852,57110,Information Technology
uid-1198,CLG135,Sep-14,Junior,,Executive Officer (EO),Policy Support Officer,Localism,0,22279,31225,Policy
uid-1199,CLG177,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Neighbourhoods,0,40852,57110,Policy
uid-1200,CLG218,Sep-14,Junior,,Senior Executive Officer (SEO),Statistician,Finance and Corporate Services,0,32311,45985,Statisticians
uid-1201,CLG227,Sep-14,Junior,,Higher Executive Officer (HEO),Programme Manager,Neighbourhoods,0,26058,39513,Operational Delivery
uid-1202,CLG197,Sep-14,Junior,,Executive Officer (EO),Finance Support Officer,Finance and Corporate Services,0,22279,31225,Finance
uid-1203,CLG227,Sep-14,Junior,,Senior Executive Officer (SEO),Programme Manager,Neighbourhoods,0,32311,45985,Operational Delivery
uid-1204,CLG198,Sep-14,Junior,,Executive Officer (EO),Finance Support Officer,Finance and Corporate Services,0,22279,31225,Finance
uid-1205,CLG146,Sep-14,Junior,,Grade 6 (G6),Senior HR Manager,Finance and Corporate Services,0,50203,70375,Human Resources
uid-1206,CLG233,Sep-14,Junior,,Fast Stream (HEOD),Policy Adviser,"Strategy, Comms and Private Offices",0,27000,35000,Policy
uid-1207,CLG192,Sep-14,Junior,,Fast Stream (HEOD),Policy Adviser,Neighbourhoods,0,27000,35000,Policy
uid-1208,CLG172,Sep-14,Junior,,Administrative Officer (AO),Policy Support Officer,Localism,0,19335,25847,Policy
uid-1209,CLG227,Sep-14,Junior,,Senior Executive Officer (SEO),Programme Manager,Neighbourhoods,0,32311,45985,Operational Delivery
uid-1210,CLG169,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Localism,0,40852,57110,Policy
uid-1211,CLG213,Sep-14,Junior,,Senior Executive Officer (SEO),Press Officer,"Strategy, Comms and Private Offices",0,32311,45985,Communications
uid-1212,CLG171,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Localism,0,40852,57110,Policy
uid-1213,CLG227,Sep-14,Junior,,Executive Officer (EO),Programme Support Officer,Neighbourhoods,0,22279,31225,Operational Delivery
uid-1214,CLG171,Sep-14,Junior,,Grade 6 (G6),Senior Policy Adviser,Localism,0,50203,70375,Policy
uid-1215,CLG215,Sep-14,Junior,,Grade 7 (G7),Senior Statistician,Finance and Corporate Services,0,40852,57110,Statisticians
uid-1216,CLG233,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,"Strategy, Comms and Private Offices",0,40852,57110,Policy
uid-1217,CLG204,Sep-14,Junior,,Higher Executive Officer (HEO),Internal Auditor,Finance and Corporate Services,0,26058,39513,Internal Audit
uid-1218,CLG217,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Finance and Corporate Services,0,40852,57110,Science and Engineering
uid-1219,CLG178,Sep-14,Junior,,Grade 6 (G6),Senior Policy Adviser,Neighbourhoods,0,50203,70375,Policy
uid-1220,CLG189,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Neighbourhoods,0,40852,57110,Planning
uid-1221,CLG165,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Localism,0,26058,39513,Policy
uid-1222,CLG239,Sep-14,Junior,,Executive Officer (EO),Policy Support Officer,Neighbourhoods,0,22279,31225,Policy
uid-1223,CLG218,Sep-14,Junior,,Senior Executive Officer (SEO),Policy Adviser,Finance and Corporate Services,0,32311,45985,Policy
uid-1224,CLG172,Sep-14,Junior,,Executive Officer (EO),Policy Support Officer,Localism,0,22279,31225,Policy
uid-1225,CLG227,Sep-14,Junior,,Higher Executive Officer (HEO),Programme Manager,Neighbourhoods,0,26058,39513,Operational Delivery
uid-1226,CLG227,Sep-14,Junior,,Grade 7 (G7),Programme Office Manager,Neighbourhoods,0,40852,57110,Operational Delivery
uid-1227,CLG227,Sep-14,Junior,,Higher Executive Officer (HEO),Programme Manager,Neighbourhoods,0,26058,39513,Operational Delivery
uid-1228,CLG215,Sep-14,Junior,,Grade 7 (G7),Senior Economist,Finance and Corporate Services,0,40852,57110,Economics
uid-1229,CLG190,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Neighbourhoods,0,40852,57110,Planning
uid-1230,CLG160,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Localism,0,26058,39513,Policy
uid-1231,CLG241,Sep-14,Junior,,Executive Officer (EO),Policy Support Officer,Neighbourhoods,0,22279,31225,Policy
uid-1232,CLG186,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Neighbourhoods,0,26058,39513,Planning
uid-1233,CLG189,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Neighbourhoods,0,40852,57110,Planning
uid-1234,CLG172,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Localism,0,26058,39513,Policy
uid-1235,CLG227,Sep-14,Junior,,Higher Executive Officer (HEO),Programme Manager,Neighbourhoods,0,26058,39513,Operational Delivery
uid-1236,CLG167,Sep-14,Junior,,Higher Executive Officer (HEO),Policy Adviser,Localism,0,26058,39513,Policy
uid-1237,CLG242,Sep-14,Junior,,Fast Stream (HEOD),Private Secretary,"Strategy, Comms and Private Offices",0,27000,35000,Policy
uid-1238,CLG215,Sep-14,Junior,,Fast Stream (HEOD),Operational Researcher,Finance and Corporate Services,0,27000,35000,Operational Research
uid-1239,CLG227,Sep-14,Junior,,Higher Executive Officer (HEO),Programme Manager,Neighbourhoods,0,26058,39513,Operational Delivery
uid-1240,CLG197,Sep-14,Junior,,Executive Officer (EO),Finance Support Officer,Finance and Corporate Services,0,22279,31225,Finance
uid-1241,CLG161,Sep-14,Junior,,Senior Executive Officer (SEO),Policy Adviser,Localism,0,32311,45985,Policy
uid-1242,CLG132,Sep-14,Junior,,Administrative Officer (AO),Policy Support Officer,Localism,0,19335,25847,Policy
uid-1243,CLG204,Sep-14,Junior,,Higher Executive Officer (HEO),Internal Auditor,Finance and Corporate Services,0,26058,39513,Internal Audit
uid-1244,CLG227,Sep-14,Junior,,Senior Executive Officer (SEO),Programme Manager,Neighbourhoods,0,32311,45985,Operational Delivery
uid-1245,CLG178,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Neighbourhoods,0,40852,57110,Policy
uid-1246,CLG169,Sep-14,Junior,,Executive Officer (EO),Policy Support Officer,Localism,0,22279,31225,Policy
uid-1247,CLG232,Sep-14,Junior,,Grade 6 (G6),Senior Finance Manager,Finance and Corporate Services,0,50203,70375,Finance
uid-1248,CLG227,Sep-14,Junior,,Higher Executive Officer (HEO),Programme Manager,Neighbourhoods,0,26058,39513,Operational Delivery
uid-1249,CLG163,Sep-14,Junior,,Grade 7 (G7),Senior Policy Adviser,Localism,0,40852,57110,Policy
uid-1250,CLG142,Sep-14,Junior,,Senior Executive Officer (SEO),Policy Adviser,Neighbourhoods,0,32311,45985,Planning
uid-1251,CLG232,Sep-14,Junior,,Senior Executive Officer (SEO),Finance Officer,Finance and Corporate Services,0,32311,45985,Finance
uid-1252,CLG146,Sep-14,Junior,,Senior Executive Officer (SEO),HR Officer,Finance and Corporate Services,0,32311,45985,Human Resources
uid-1253,CLG198,Sep-14,Junior,,Higher Executive Officer (HEO),Finance Officer,Finance and Corporate Services,0,26058,39513,Finance
uid-1254,CLG243,Sep-14,Junior,,Senior Executive Officer (SEO),Policy Adviser,Neighbourhoods,0,32311,45985,Policy
uid-1255,CLG243,Sep-14,Junior,,Senior Executive Officer (SEO),Policy Adviser,Neighbourhoods,0,32311,45985,Policy
